mouse,sex,DOB,HL_type,HL_date
Cacti_1,M,2025-01-23,None,
Cacti_223,M,2025-01-23,None,
Cacti_224,M,2025-01-23,None,
Cacti_225,M,2025-01-23,None,
Cat_226,F,2025-01-23,bilateral,2025-05-09
Cat_227,F,2025-01-23,sham,2025-05-09
Cat_228,F,2025-01-23,sham,2025-05-21
Cat_229,F,2025-01-23,bilateral,2025-05-21
Pearl_189,M,2024-09-19,None,
